data_size,epoch,train_loss,train_lX,train_lG,train_lSmooth,val_loss,val_lX,val_lG,val_lSmooth,val_loss_no_noise,val_lX_no_noise,val_lG_no_noise,val_lSmooth_no_noise,test_loss,test_lX,test_lG,test_lSmooth,test_loss_no_noise,test_lX_no_noise,test_lG_no_noise,test_lSmooth_no_noise,rhs_kb2,rhs_alfa,rhs_beta,rhs_kg,rhs_Eag,rhs_gama_g,param_error_rmsre,noise_scale
5,0,8273.16796875,0.03670306131243706,827.3130493164062,1.3732251780140814e-08,0.054073262959718704,0.054073262959718704,613.9239501953125,1.7747572300663705e-08,0.054073262959718704,0.054073262959718704,613.9239501953125,1.7747572300663705e-08,0.0709390938282013,0.0709390938282013,641.0823974609375,1.781144653989486e-08,0.0709390938282013,0.0709390938282013,641.0823974609375,1.781144653989486e-08,0.9990000128746033,0.9990000128746033,0.9990000128746033,0.9990000128746033,1.0010000467300415,1.0010000467300415,1.4380131959915161,0.10000000149011612
5,500,0.047639504075050354,0.04752153530716896,1.1775838174798992e-05,2.0795187083422206e-07,0.06500912457704544,0.06500912457704544,8.177061317837797e-06,2.0308462467255595e-07,0.06500912457704544,0.06500912457704544,8.177061317837797e-06,2.0308462467255595e-07,0.08294418454170227,0.08294418454170227,8.979532140074298e-06,2.0146501356066437e-07,0.08294418454170227,0.08294418454170227,8.979532140074298e-06,2.0146501356066437e-07,0.9850665330886841,0.9873946309089661,0.9851208925247192,0.983665406703949,1.0163627862930298,1.0169086456298828,1.4254525899887085,0.10000000149011612
5,1000,0.040788911283016205,0.04062488675117493,1.637829336686991e-05,2.4231468387370114e-07,0.058286309242248535,0.058286309242248535,9.630649401515257e-06,2.406602561677573e-07,0.058286309242248535,0.058286309242248535,9.630649401515257e-06,2.406602561677573e-07,0.07591544836759567,0.07591544836759567,1.0808714250742923e-05,2.4119191266436246e-07,0.07591544836759567,0.07591544836759567,1.0808714250742923e-05,2.4119191266436246e-07,0.9850665330886841,0.9873946309089661,0.9851208925247192,0.983665406703949,1.0163627862930298,1.0169086456298828,1.4254525899887085,0.10000000149011612
5,1500,0.03525632992386818,0.0349862240254879,2.6978917958331294e-05,3.1734202821098734e-07,0.051867108792066574,0.051867108792066574,1.3924638551543467e-05,3.1827639190851187e-07,0.051867108792066574,0.051867108792066574,1.3924638551543467e-05,3.1827639190851187e-07,0.06921589374542236,0.06921589374542236,1.5625548257958144e-05,3.2209112532655126e-07,0.06921589374542236,0.06921589374542236,1.5625548257958144e-05,3.2209112532655126e-07,0.9850665330886841,0.9873946309089661,0.9851208925247192,0.983665406703949,1.0163627862930298,1.0169086456298828,1.4254525899887085,0.10000000149011612
5,2000,0.031122736632823944,0.030691828578710556,4.305330730858259e-05,3.7523184914789454e-07,0.047081295400857925,0.047081295400857925,2.0498386220424436e-05,3.7764019111818925e-07,0.047081295400857925,0.047081295400857925,2.0498386220424436e-05,3.7764019111818925e-07,0.06434006243944168,0.06434006243944168,2.2673371859127656e-05,3.836379391941591e-07,0.06434006243944168,0.06434006243944168,2.2673371859127656e-05,3.836379391941591e-07,0.9850665330886841,0.9873946309089661,0.9851208925247192,0.9836589694023132,1.0163627862930298,1.0169134140014648,1.4254541397094727,0.10000000149011612
5,2500,0.026044555008411407,0.025481464341282845,5.626874553854577e-05,4.025965552045818e-07,0.04204639419913292,0.04204639419913292,2.57675455941353e-05,4.068753867159103e-07,0.04204639419913292,0.04204639419913292,2.57675455941353e-05,4.068753867159103e-07,0.05918991565704346,0.05918991565704346,2.825828778441064e-05,4.138051110658125e-07,0.05918991565704346,0.05918991565704346,2.825828778441064e-05,4.138051110658125e-07,0.9850665330886841,0.9873946309089661,0.9851208925247192,0.9836291670799255,1.0163627862930298,1.0169730186462402,1.4254732131958008,0.10000000149011612
5,3000,0.022600727155804634,0.02201351709663868,5.867651634616777e-05,4.4484849581749586e-07,0.038564201444387436,0.038564201444387436,2.6739078748505563e-05,4.5138068571759504e-07,0.038564201444387436,0.038564201444387436,2.6739078748505563e-05,4.5138068571759504e-07,0.05556870624423027,0.05556870624423027,2.942248829640448e-05,4.5947683702252107e-07,0.05556870624423027,0.05556870624423027,2.942248829640448e-05,4.5947683702252107e-07,0.9850665330886841,0.9873946309089661,0.9851208925247192,0.9835993647575378,1.0164190530776978,1.0170326232910156,1.425492286682129,0.10000000149011612
5,3500,0.019407398998737335,0.01889006793498993,5.16844738740474e-05,4.85316377307754e-07,0.03552945703268051,0.03552945703268051,2.4094384571071714e-05,4.934267394673952e-07,0.03552945703268051,0.03552945703268051,2.4094384571071714e-05,4.934267394673952e-07,0.052377309650182724,0.052377309650182724,2.6991167032974772e-05,5.022181994718267e-07,0.052377309650182724,0.052377309650182724,2.6991167032974772e-05,5.022181994718267e-07,0.9850665330886841,0.9873946309089661,0.9851208925247192,0.9835475087165833,1.0164786577224731,1.017092227935791,1.4255114793777466,0.10000000149011612
5,4000,0.016463305801153183,0.016031526029109955,4.312097007641569e-05,5.708385515390546e-07,0.03263889625668526,0.03263889625668526,2.112433321599383e-05,5.792093134004972e-07,0.03263889625668526,0.03263889625668526,2.112433321599383e-05,5.792093134004972e-07,0.04915764182806015,0.04915764182806015,2.3819289708626457e-05,5.880827984583448e-07,0.04915764182806015,0.04915764182806015,2.3819289708626457e-05,5.880827984583448e-07,0.9850665330886841,0.9873946309089661,0.9851208925247192,0.9834879040718079,1.0165382623672485,1.0171518325805664,1.4255305528640747,0.10000000149011612
5,4500,0.014350238256156445,0.013947736471891403,4.017245373688638e-05,7.779744350955298e-07,0.02983253262937069,0.02983253262937069,2.178168506361544e-05,7.859940183152503e-07,0.02983253262937069,0.02983253262937069,2.178168506361544e-05,7.859940183152503e-07,0.04563205689191818,0.04563205689191818,2.4230255803558975e-05,7.970645015120681e-07,0.04563205689191818,0.04563205689191818,2.4230255803558975e-05,7.970645015120681e-07,0.9850665330886841,0.9873946309089661,0.9851208925247192,0.9834311008453369,1.016597867012024,1.0172114372253418,1.4255497455596924,0.10000000149011612
