data_size,epoch,train_loss,train_lX,train_lG,train_lSmooth,val_loss,val_lX,val_lG,val_loss_no_noise,val_lSmooth,test_loss,test_lX,test_lG,test_loss_no_noise,test_lSmooth,rhs_kb2,rhs_alfa,rhs_beta,rhs_kg,rhs_Eag,rhs_gama_g,param_error_rmsre,noise_scale
5,0,642530.0625,0.0760088711977005,64253.0,0.00016060445341281593,253679.859375,0.10800303518772125,50735.94921875,253679.859375,5.933010172043396e-08,263353.875,0.12175027281045914,52670.75,263353.875,5.964681548675799e-08,0.9990000128746033,0.9990000128746033,0.9990000128746033,0.9990000128746033,1.0010000467300415,1.0010000467300415,1.4380131959915161,0.10000000149011612
5,500,0.08482268452644348,0.025271480903029442,0.005787077359855175,0.00016804227198008448,0.06666883826255798,0.037840209901332855,0.005765616428107023,0.06046828627586365,5.423090669864905e-07,0.0719725638628006,0.04921170696616173,0.004552066791802645,0.06461331248283386,5.18687670592044e-07,0.9835203289985657,0.9844613671302795,0.9835742115974426,0.9822289943695068,1.0178160667419434,1.0184898376464844,1.4239635467529297,0.10000000149011612
5,1000,0.1409556269645691,0.02364424802362919,0.011569307185709476,0.00016183067054953426,0.05567900836467743,0.03542611747980118,0.004050456453114748,0.04947815090417862,6.113291419751476e-07,0.06297598034143448,0.04659661650657654,0.003275754861533642,0.055623382329940796,5.870001587027218e-07,0.9835203289985657,0.9844613671302795,0.9835742115974426,0.9821917414665222,1.0178754329681396,1.0185513496398926,1.4239833354949951,0.10000000149011612
5,1500,0.15223807096481323,0.02246210351586342,0.012821268290281296,0.0001563278929097578,0.0470808669924736,0.03388361632823944,0.00263931043446064,0.040886081755161285,7.013001663835894e-07,0.056012481451034546,0.0449739433825016,0.0022075718734413385,0.04866572096943855,6.766168780814041e-07,0.9835203289985657,0.9844613671302795,0.9835742115974426,0.9821422100067139,1.017935037612915,1.018629550933838,1.4240084886550903,0.10000000149011612
5,2000,0.06857746094465256,0.021633394062519073,0.004534373991191387,0.00016003217024262995,0.04160699248313904,0.03313753381371498,0.0016937317559495568,0.03541933745145798,8.016239121388935e-07,0.051631148904561996,0.044261377304792404,0.0014737987658008933,0.0442894771695137,7.768866794322093e-07,0.9835203289985657,0.9844613671302795,0.9835742115974426,0.9821025133132935,1.0179944038391113,1.0186986923217773,1.4240309000015259,0.10000000149011612
5,2500,0.06287457048892975,0.021078910678625107,0.004024893511086702,0.00015467245248146355,0.038071583956480026,0.03277633339166641,0.0010588661534711719,0.03188738226890564,9.183867177853244e-07,0.048788588494062424,0.0439591221511364,0.000965714396443218,0.04145023226737976,8.941269129536522e-07,0.9835203289985657,0.9844613671302795,0.9835742115974426,0.9820653200149536,1.0180492401123047,1.0187638998031616,1.4240518808364868,0.10000000149011612
5,3000,0.07430155575275421,0.02075144276022911,0.005197668448090553,0.00015734309272374958,0.03583202511072159,0.03246954455971718,0.0006722871330566704,0.029646065086126328,1.044424038809666e-06,0.04689672216773033,0.04367731139063835,0.0006436781259253621,0.039561230689287186,1.0207547802565387e-06,0.9835203289985657,0.9844613671302795,0.9835742115974426,0.9820342063903809,1.0180904865264893,1.0188239812850952,1.424071192741394,0.10000000149011612
5,3500,0.05120960995554924,0.020345492288470268,0.0029248048085719347,0.00016160713857971132,0.03417191281914711,0.032068464905023575,0.00042045192094519734,0.027980368584394455,1.189526415146247e-06,0.0453774593770504,0.043253179639577866,0.00042462305282242596,0.03804497420787811,1.1667671060422435e-06,0.9835203289985657,0.9844613671302795,0.9835742115974426,0.9820036888122559,1.0181254148483276,1.018884301185608,1.4240907430648804,0.10000000149011612
5,4000,0.05167727917432785,0.02001907303929329,0.003000401658937335,0.00016541910008527339,0.0329730361700058,0.031615711748600006,0.0002711964480113238,0.026774635538458824,1.3418243725027423e-06,0.04419958218932152,0.04275725781917572,0.0002882012922782451,0.03687027096748352,1.3199796740082093e-06,0.9835203289985657,0.9844613671302795,0.9835742115974426,0.9819737076759338,1.0181375741958618,1.0189440250396729,1.4241100549697876,0.10000000149011612
5,4500,0.022887932136654854,0.019679589197039604,0.00015954466653056443,0.0001612895866855979,0.03209260478615761,0.031190084293484688,0.00018020403513219208,0.025887079536914825,1.5010929246273008e-06,0.04328570142388344,0.04228111356496811,0.0002006216236623004,0.035960208624601364,1.480326659475395e-06,0.9835203289985657,0.9844613671302795,0.9835742115974426,0.9819440841674805,1.018142819404602,1.0190036296844482,1.4241292476654053,0.10000000149011612
