data_size,epoch,train_loss,train_lX,train_lSmooth,val_loss,val_lX,val_lG,val_lSmooth,val_loss_no_noise,val_lX_no_noise,val_lG_no_noise,val_lSmooth_no_noise,test_loss,test_lX,test_lG,test_lSmooth,test_loss_no_noise,test_lX_no_noise,test_lG_no_noise,test_lSmooth_no_noise,noise_scale
5,0,0.045041125267744064,0.04504106938838959,5.607318342981671e-08,0.06184278428554535,0.06184278428554535,2079.235595703125,6.196968627136812e-08,0.06184278428554535,0.06184278428554535,2079.235595703125,6.196968627136812e-08,0.07830110192298889,0.07830110192298889,2155.68896484375,6.317760181673293e-08,0.07830110192298889,0.07830110192298889,2155.68896484375,6.317760181673293e-08,0.10000000149011612
5,500,0.0019222390837967396,0.0018912253435701132,3.10137947963085e-05,0.013420745730400085,0.013420745730400085,0.008947459049522877,3.090762402280234e-05,0.013420745730400085,0.013420745730400085,0.008947459049522877,3.090762402280234e-05,0.02199157327413559,0.02199157327413559,0.010569724254310131,3.0886363674653694e-05,0.02199157327413559,0.02199157327413559,0.010569724254310131,3.0886363674653694e-05,0.10000000149011612
5,1000,0.000866862537804991,0.0008426695130765438,2.4193011995521374e-05,0.011526401154696941,0.011526401154696941,0.005371965002268553,2.2452886696555652e-05,0.011526401154696941,0.011526401154696941,0.005371965002268553,2.2452886696555652e-05,0.019419806078076363,0.019419806078076363,0.004442929290235043,2.2227321096579544e-05,0.019419806078076363,0.019419806078076363,0.004442929290235043,2.2227321096579544e-05,0.10000000149011612
5,1500,0.0009458240820094943,0.0009271514136344194,1.8672650185180828e-05,0.012658066116273403,0.012658066116273403,0.0069274744018912315,1.846063241828233e-05,0.012658066116273403,0.012658066116273403,0.0069274744018912315,1.846063241828233e-05,0.020008634775877,0.020008634775877,0.0072990660555660725,1.8594006178318523e-05,0.020008634775877,0.020008634775877,0.0072990660555660725,1.8594006178318523e-05,0.10000000149011612
5,2000,0.00010006053344113752,8.51035219966434e-05,1.4957010534999426e-05,0.010455567389726639,0.010455567389726639,0.003833285067230463,1.340303151664557e-05,0.010455567389726639,0.010455567389726639,0.003833285067230463,1.340303151664557e-05,0.017166294157505035,0.017166294157505035,0.0032364572398364544,1.3543675777327735e-05,0.017166294157505035,0.017166294157505035,0.0032364572398364544,1.3543675777327735e-05,0.10000000149011612
5,2500,0.00011485338472994044,0.00010401231702417135,1.084106679627439e-05,0.011011761613190174,0.011011761613190174,0.003989343997091055,1.0256957466481254e-05,0.011011761613190174,0.011011761613190174,0.003989343997091055,1.0256957466481254e-05,0.017411282286047935,0.017411282286047935,0.003634105436503887,1.0693606782297138e-05,0.017411282286047935,0.017411282286047935,0.003634105436503887,1.0693606782297138e-05,0.10000000149011612
5,3000,4.553699181997217e-05,3.5667006159201264e-05,9.869984751276206e-06,0.010387293994426727,0.010387293994426727,0.0038591246120631695,7.731473488092888e-06,0.010387293994426727,0.010387293994426727,0.0038591246120631695,7.731473488092888e-06,0.016385311260819435,0.016385311260819435,0.0036950153298676014,8.255742613982875e-06,0.016385311260819435,0.016385311260819435,0.0036950153298676014,8.255742613982875e-06,0.10000000149011612
5,3500,6.857726111775264e-05,5.986626274534501e-05,8.711000191397034e-06,0.010166033171117306,0.010166033171117306,0.003924843389540911,6.092321200412698e-06,0.010166033171117306,0.010166033171117306,0.003924843389540911,6.092321200412698e-06,0.01603829488158226,0.01603829488158226,0.0038026024121791124,6.578706233995035e-06,0.01603829488158226,0.01603829488158226,0.0038026024121791124,6.578706233995035e-06,0.10000000149011612
5,4000,2.4587096049799584e-05,1.721519038255792e-05,7.371906121989014e-06,0.010535315610468388,0.010535315610468388,0.0041557736694812775,5.454663096315926e-06,0.010535315610468388,0.010535315610468388,0.0041557736694812775,5.454663096315926e-06,0.016230683773756027,0.016230683773756027,0.0039156414568424225,5.953246272838442e-06,0.016230683773756027,0.016230683773756027,0.0039156414568424225,5.953246272838442e-06,0.10000000149011612
5,4500,3.0057239200687036e-05,2.3658512873225845e-05,6.39872587271384e-06,0.009886699728667736,0.009886699728667736,0.0038714881520718336,4.594120582623873e-06,0.009886699728667736,0.009886699728667736,0.0038714881520718336,4.594120582623873e-06,0.016403190791606903,0.016403190791606903,0.0038611446507275105,5.045046236773487e-06,0.016403190791606903,0.016403190791606903,0.0038611446507275105,5.045046236773487e-06,0.10000000149011612
5,5000,1.6289810446323827e-05,1.017958675220143e-05,6.110222784627695e-06,0.009737485088407993,0.009737485088407993,0.00395157327875495,4.5355045585893095e-06,0.009737485088407993,0.009737485088407993,0.00395157327875495,4.5355045585893095e-06,0.016385488212108612,0.016385488212108612,0.00391426682472229,4.928139787807595e-06,0.016385488212108612,0.016385488212108612,0.00391426682472229,4.928139787807595e-06,0.10000000149011612
5,5500,1.6827325453050435e-05,1.1016183634637855e-05,5.811142727907281e-06,0.009851567447185516,0.009851567447185516,0.0036658712197095156,4.207055553706596e-06,0.009851567447185516,0.009851567447185516,0.0036658712197095156,4.207055553706596e-06,0.016320284456014633,0.016320284456014633,0.0035977265797555447,4.597303359332727e-06,0.016320284456014633,0.016320284456014633,0.0035977265797555447,4.597303359332727e-06,0.10000000149011612
5,6000,1.4528284737025388e-05,8.972409887064714e-06,5.555874395213323e-06,0.009853369556367397,0.009853369556367397,0.0033868991304188967,4.101353624719195e-06,0.009853369556367397,0.009853369556367397,0.0033868991304188967,4.101353624719195e-06,0.01661865785717964,0.01661865785717964,0.003481699153780937,4.552067366603296e-06,0.01661865785717964,0.01661865785717964,0.003481699153780937,4.552067366603296e-06,0.10000000149011612
5,6500,1.2261973097338341e-05,6.971220955165336e-06,5.290752596920356e-06,0.010170339606702328,0.010170339606702328,0.0035394742153584957,3.976701464125654e-06,0.010170339606702328,0.010170339606702328,0.0035394742153584957,3.976701464125654e-06,0.01667241007089615,0.01667241007089615,0.00349818984977901,4.42993678007042e-06,0.01667241007089615,0.01667241007089615,0.00349818984977901,4.42993678007042e-06,0.10000000149011612
5,7000,0.003998755943030119,0.003994252532720566,4.503406216826988e-06,0.014015480875968933,0.014015480875968933,0.012808075174689293,3.5775801734416746e-06,0.014015480875968933,0.014015480875968933,0.012808075174689293,3.5775801734416746e-06,0.02196538634598255,0.02196538634598255,0.014198848977684975,3.2990403724397765e-06,0.02196538634598255,0.02196538634598255,0.014198848977684975,3.2990403724397765e-06,0.10000000149011612
5,7500,0.0003752237244043499,0.0003691921301651746,6.03159969614353e-06,0.011609720066189766,0.011609720066189766,0.006984957959502935,7.031240784272086e-06,0.011609720066189766,0.011609720066189766,0.006984957959502935,7.031240784272086e-06,0.01890600472688675,0.01890600472688675,0.007684559095650911,9.512506039754953e-06,0.01890600472688675,0.01890600472688675,0.007684559095650911,9.512506039754953e-06,0.10000000149011612
5,8000,4.084516695002094e-05,3.4634798794286326e-05,6.2103681557346135e-06,0.011138737201690674,0.011138737201690674,0.005859329365193844,6.369989932863973e-06,0.011138737201690674,0.011138737201690674,0.005859329365193844,6.369989932863973e-06,0.017877476289868355,0.017877476289868355,0.006239577662199736,8.041050023166463e-06,0.017877476289868355,0.017877476289868355,0.006239577662199736,8.041050023166463e-06,0.10000000149011612
