data_size,epoch,train_loss,train_lX,train_lG,train_lSmooth,val_loss,val_lX,val_lG,val_lSmooth,val_loss_no_noise,val_lX_no_noise,val_lG_no_noise,val_lSmooth_no_noise,test_loss,test_lX,test_lG,test_lSmooth,test_loss_no_noise,test_lX_no_noise,test_lG_no_noise,test_lSmooth_no_noise,rhs_kb2,rhs_alfa,rhs_beta,rhs_kg,rhs_Eag,rhs_gama_g,param_error_rmsre,noise_scale
5,0,8188.36279296875,0.040080342441797256,818.832275390625,5.808997727285714e-08,0.06359722465276718,0.06359722465276718,635.073486328125,5.948932013666308e-08,0.06359722465276718,0.06359722465276718,635.073486328125,5.948932013666308e-08,0.08247911185026169,0.08247911185026169,661.1441650390625,5.991457641130182e-08,0.08247911185026169,0.08247911185026169,661.1441650390625,5.991457641130182e-08,0.9990000128746033,0.9990000128746033,0.9990000128746033,0.9990000128746033,1.0010000467300415,1.0010000467300415,1.4380131959915161,0.10000000149011612
5,500,0.04122576862573624,0.040338464081287384,8.8710970885586e-05,1.9325388223023765e-07,0.05865893140435219,0.05865893140435219,3.973128696088679e-05,1.7522381767776096e-07,0.05865893140435219,0.05865893140435219,3.973128696088679e-05,1.7522381767776096e-07,0.07707937806844711,0.07707937806844711,4.1055183828575537e-05,1.6784878198450315e-07,0.07707937806844711,0.07707937806844711,4.1055183828575537e-05,1.6784878198450315e-07,0.9843334555625916,0.9865899085998535,0.9843769669532776,0.9835024476051331,1.0165272951126099,1.0170338153839111,1.4245575666427612,0.10000000149011612
5,1000,0.03577358275651932,0.03483940660953522,9.339161624666303e-05,2.625178296966624e-07,0.05408722907304764,0.05408722907304764,4.249372796039097e-05,2.403783696536266e-07,0.05408722907304764,0.05408722907304764,4.249372796039097e-05,2.403783696536266e-07,0.07200256735086441,0.07200256735086441,4.319825166021474e-05,2.336272615366397e-07,0.07200256735086441,0.07200256735086441,4.319825166021474e-05,2.336272615366397e-07,0.9843334555625916,0.9865899085998535,0.9843769669532776,0.9835024476051331,1.0165272951126099,1.0170338153839111,1.4245575666427612,0.10000000149011612
5,1500,0.03310036286711693,0.03214631974697113,9.536612924421206e-05,3.8391783618862974e-07,0.050239332020282745,0.050239332020282745,4.4183478166814893e-05,3.572700677523244e-07,0.050239332020282745,0.050239332020282745,4.4183478166814893e-05,3.572700677523244e-07,0.0676598772406578,0.0676598772406578,4.4721728045260534e-05,3.524105238739139e-07,0.0676598772406578,0.0676598772406578,4.4721728045260534e-05,3.524105238739139e-07,0.9843334555625916,0.9865899085998535,0.9843769669532776,0.9834829568862915,1.0165272951126099,1.017046332359314,1.4245615005493164,0.10000000149011612
5,2000,0.0310906283557415,0.030167801305651665,9.223504457622766e-05,4.770824375555094e-07,0.047645147889852524,0.047645147889852524,4.312392047722824e-05,4.4964008338865824e-07,0.047645147889852524,0.047645147889852524,4.312392047722824e-05,4.4964008338865824e-07,0.0648699551820755,0.0648699551820755,4.392358459881507e-05,4.465373422135599e-07,0.0648699551820755,0.0648699551820755,4.392358459881507e-05,4.465373422135599e-07,0.9843334555625916,0.9865899085998535,0.9843769669532776,0.9834531545639038,1.0165272951126099,1.0171059370040894,1.424580693244934,0.10000000149011612
5,2500,0.028933925554156303,0.028064176440238953,8.692102710483596e-05,5.379170033847913e-07,0.04527046158909798,0.04527046158909798,4.071922739967704e-05,5.127719759911997e-07,0.04527046158909798,0.04527046158909798,4.071922739967704e-05,5.127719759911997e-07,0.06238023191690445,0.06238023191690445,4.192273991066031e-05,5.10974189182889e-07,0.06238023191690445,0.06238023191690445,4.192273991066031e-05,5.10974189182889e-07,0.9843334555625916,0.9865899085998535,0.9843769669532776,0.9834233522415161,1.0165272951126099,1.0171655416488647,1.4245998859405518,0.10000000149011612
5,3000,0.02647992968559265,0.02567879855632782,8.005434210645035e-05,5.878172260054271e-07,0.04272211343050003,0.04272211343050003,3.7515423173317686e-05,5.66307392091403e-07,0.04272211343050003,0.04272211343050003,3.7515423173317686e-05,5.66307392091403e-07,0.059719063341617584,0.059719063341617584,3.9144171751104295e-05,5.657235533362837e-07,0.059719063341617584,0.059719063341617584,3.9144171751104295e-05,5.657235533362837e-07,0.9843334555625916,0.9865899085998535,0.9843769669532776,0.9833935499191284,1.0165479183197021,1.0172251462936401,1.4246189594268799,0.10000000149011612
5,3500,0.02380216307938099,0.023096900433301926,7.045912934700027e-05,6.698450647490972e-07,0.04007451981306076,0.04007451981306076,3.318117160233669e-05,6.522478770421003e-07,0.04007451981306076,0.04007451981306076,3.318117160233669e-05,6.522478770421003e-07,0.05696447938680649,0.05696447938680649,3.520067184581421e-05,6.532316660923243e-07,0.05696447938680649,0.05696447938680649,3.520067184581421e-05,6.532316660923243e-07,0.9843334555625916,0.9865899085998535,0.9843769669532776,0.9833637475967407,1.0166075229644775,1.0172847509384155,1.424638032913208,0.10000000149011612
5,4000,0.02100178599357605,0.020426973700523376,5.7400469813728705e-05,8.087596370387473e-07,0.037258099764585495,0.037258099764585495,2.7502583179739304e-05,7.965350050653797e-07,0.037258099764585495,0.037258099764585495,2.7502583179739304e-05,7.965350050653797e-07,0.05398567020893097,0.05398567020893097,2.9805452868458815e-05,7.999082640708366e-07,0.05398567020893097,0.05398567020893097,2.9805452868458815e-05,7.999082640708366e-07,0.9843334555625916,0.9865899085998535,0.9843769669532776,0.983333945274353,1.016667127609253,1.017344355583191,1.4246572256088257,0.10000000149011612
5,4500,0.01838132180273533,0.017954731360077858,4.255461317370646e-05,1.0456986956342007e-06,0.034542955458164215,0.034542955458164215,2.34847902902402e-05,1.0423906360301771e-06,0.034542955458164215,0.034542955458164215,2.34847902902402e-05,1.0423906360301771e-06,0.0510396808385849,0.0510396808385849,2.723758007050492e-05,1.0494402431504568e-06,0.0510396808385849,0.0510396808385849,2.723758007050492e-05,1.0494402431504568e-06,0.9843334555625916,0.9865899085998535,0.9843769669532776,0.9833041429519653,1.0167267322540283,1.0174039602279663,1.4246762990951538,0.10000000149011612
