data_size,epoch,train_loss,train_lX,train_lG,train_lSmooth,val_loss,val_lX,val_lG,val_lSmooth,val_loss_no_noise,val_lX_no_noise,val_lG_no_noise,val_lSmooth_no_noise,test_loss,test_lX,test_lG,test_lSmooth,test_loss_no_noise,test_lX_no_noise,test_lG_no_noise,test_lSmooth_no_noise,rhs_kb2,rhs_alfa,rhs_beta,rhs_kg,rhs_Eag,rhs_gama_g,param_error_rmsre,noise_scale
5,0,4265088000.0,0.049450866878032684,4265.087890625,3.7858765011833384e-08,0.07188422977924347,0.07188422977924347,3376.216552734375,3.149498795096406e-08,0.07188422977924347,0.07188422977924347,3376.216552734375,3.149498795096406e-08,0.09080751985311508,0.09080751985311508,3502.842041015625,3.180041474593054e-08,0.09080751985311508,0.09080751985311508,3502.842041015625,3.180041474593054e-08,0.9990000128746033,0.9990000128746033,0.9990000128746033,0.9990000128746033,1.0010000467300415,1.0010000467300415,1.4380131959915161,0.10000000149011612
5,500,438.5506896972656,0.10126297175884247,0.0004384494386613369,3.491504116936994e-07,0.08439714461565018,0.08439714461565018,0.00020513673371169716,2.98863312764297e-07,0.08439714461565018,0.08439714461565018,0.00020513673371169716,2.98863312764297e-07,0.10215660184621811,0.10215660184621811,0.00017829335411079228,2.750006160567864e-07,0.10215660184621811,0.10215660184621811,0.00017829335411079228,2.750006160567864e-07,0.9833109974861145,0.9843996167182922,0.9833888411521912,0.9812361001968384,1.0188114643096924,1.0193802118301392,1.4240243434906006,0.10000000149011612
5,1000,384.2279968261719,0.10111507773399353,0.00038412687717936933,3.734812992206571e-07,0.0843355730175972,0.0843355730175972,0.0001802315964596346,3.2110958159137226e-07,0.0843355730175972,0.0843355730175972,0.0001802315964596346,3.2110958159137226e-07,0.10199129581451416,0.10199129581451416,0.00015840449486859143,2.9606661655634525e-07,0.10199129581451416,0.10199129581451416,0.00015840449486859143,2.9606661655634525e-07,0.9833109974861145,0.9843996167182922,0.9833888411521912,0.9812062978744507,1.0188114643096924,1.0194398164749146,1.4240436553955078,0.10000000149011612
5,1500,322.297119140625,0.10085984319448471,0.00032219625427387655,4.076880202319444e-07,0.08423730731010437,0.08423730731010437,0.00015206313400994986,3.5275286336400313e-07,0.08423730731010437,0.08423730731010437,0.00015206313400994986,3.5275286336400313e-07,0.10175392031669617,0.10175392031669617,0.00013572839088737965,3.26139314665852e-07,0.10175392031669617,0.10175392031669617,0.00013572839088737965,3.26139314665852e-07,0.9833109974861145,0.9843996167182922,0.9833888411521912,0.981176495552063,1.0188602209091187,1.01949942111969,1.424062967300415,0.10000000149011612
5,2000,261.57476806640625,0.1004670262336731,0.0002614743134472519,4.5107137225386396e-07,0.0840989500284195,0.0840989500284195,0.0001245691964868456,3.9339391832982074e-07,0.0840989500284195,0.0840989500284195,0.0001245691964868456,3.9339391832982074e-07,0.10144618153572083,0.10144618153572083,0.00011334002920193598,3.6507339018498897e-07,0.10144618153572083,0.10144618153572083,0.00011334002920193598,3.6507339018498897e-07,0.9833109974861145,0.9843996167182922,0.9833888411521912,0.9811466932296753,1.018919825553894,1.0195590257644653,1.4240821599960327,0.10000000149011612
5,2500,206.83604431152344,0.09990602731704712,0.0002067361492663622,5.025667064728623e-07,0.08391864597797394,0.08391864597797394,0.00010004838259192184,4.423745849635452e-07,0.08391864597797394,0.08391864597797394,0.00010004838259192184,4.423745849635452e-07,0.10106880962848663,0.10106880962848663,9.311044414062053e-05,4.123964458813134e-07,0.10106880962848663,0.10106880962848663,9.311044414062053e-05,4.123964458813134e-07,0.9833109974861145,0.9843996167182922,0.9833888411521912,0.9811168909072876,1.0189794301986694,1.0196186304092407,1.42410147190094,0.10000000149011612
5,3000,160.44033813476562,0.0991571769118309,0.00016034118016250432,5.603937438536377e-07,0.08370311558246613,0.08370311558246613,7.952405576361343e-05,4.979968935003853e-07,0.08370311558246613,0.08370311558246613,7.952405576361343e-05,4.979968935003853e-07,0.10062747448682785,0.10062747448682785,7.58204041630961e-05,4.665847939122614e-07,0.10062747448682785,0.10062747448682785,7.58204041630961e-05,4.665847939122614e-07,0.9833109974861145,0.9843996167182922,0.9833888411521912,0.9810870885848999,1.0190390348434448,1.0196782350540161,1.4241206645965576,0.10000000149011612
5,3500,123.32583618164062,0.09819795936346054,0.00012322764087002724,6.216873771336395e-07,0.08346410095691681,0.08346410095691681,6.326007860479876e-05,5.577855404226284e-07,0.08346410095691681,0.08346410095691681,6.326007860479876e-05,5.577855404226284e-07,0.10013329237699509,0.10013329237699509,6.184386438690126e-05,5.250449248705991e-07,0.10013329237699509,0.10013329237699509,6.184386438690126e-05,5.250449248705991e-07,0.9833109974861145,0.9843996167182922,0.9833888411521912,0.9810572862625122,1.0190986394882202,1.0197378396987915,1.4241400957107544,0.10000000149011612
5,4000,94.92017364501953,0.09702102094888687,9.482315363129601e-05,6.845428970336798e-07,0.08322896808385849,0.08322896808385849,5.097388566355221e-05,6.195826358634804e-07,0.08322896808385849,0.08322896808385849,5.097388566355221e-05,6.195826358634804e-07,0.09961047768592834,0.09961047768592834,5.0986938731512055e-05,5.858196345798206e-07,0.09961047768592834,0.09961047768592834,5.0986938731512055e-05,5.858196345798206e-07,0.9833109974861145,0.9843996167182922,0.9833888411521912,0.9810274839401245,1.0191582441329956,1.019797444343567,1.424159288406372,0.10000000149011612
5,4500,73.82368469238281,0.09562869369983673,7.372805703198537e-05,7.481828561139992e-07,0.08304160088300705,0.08304160088300705,4.1972296457970515e-05,6.826916774116398e-07,0.08304160088300705,0.08304160088300705,4.1972296457970515e-05,6.826916774116398e-07,0.09910152852535248,0.09910152852535248,4.2781877709785476e-05,6.480184424617619e-07,0.09910152852535248,0.09910152852535248,4.2781877709785476e-05,6.480184424617619e-07,0.9833109974861145,0.9843996167182922,0.9833888411521912,0.9809976816177368,1.019217848777771,1.0198570489883423,1.4241786003112793,0.10000000149011612
